,Referencia,Fecha Alta,Tipo,Operación,Provincia,Superficie,Precio Venta,Fecha Venta,Vendedor
1,2,2004-01-01,Local,Venta,Girona,199,1945424,2004-04-19,Pedro
2,3,2004-01-01,Oficina,Alquiler,Girona,82,712416,2004-11-08,Joaquín
3,4,2004-01-02,Parking,Alquiler,Girona,285,1815450,2004-04-27,Jesús
4,5,2004-01-02,Suelo,Venta,Tarragona,152,1138024,2004-07-10,María
5,6,2004-01-03,Industrial,Alquiler,Girona,131,953156,2004-09-05,Pedro
6,7,2004-01-03,Parking,Alquiler,Tarragona,69,406686,2004-06-07,Pedro
7,8,2004-01-03,Oficina,Venta,Girona,235,2158475,2004-10-31,Jesús
8,9,2004-01-04,Piso,Alquiler,Lleida,108,1024380,2004-12-28,Jesús
9,10,2004-01-04,Parking,Venta,Lleida,299,2042768,2004-10-06,Joaquín
10,11,2004-01-04,Oficina,Alquiler,Girona,124,627068,2004-10-28,Pedro
11,12,2004-01-04,Industrial,Venta,Girona,187,999328,2004-04-05,Carmen
12,13,2004-01-04,Parking,Venta,Barcelona,300,2937300,2004-11-04,Jesús
13,14,2004-01-04,Local,Venta,Tarragona,68,664700,2004-10-01,Carmen
14,15,2004-01-04,Industrial,Alquiler,Girona,176,820336,2004-11-29,Pedro
15,16,2004-01-05,Casa,Alquiler,Girona,179,937960,2004-11-21,Carmen
16,17,2004-01-05,Casa,Alquiler,Tarragona,58,358846,2004-10-08,Luisa
17,18,2004-01-06,Suelo,Venta,Barcelona,283,1679605,2004-06-06,Carmen
18,19,2004-01-07,Piso,Alquiler,Girona,55,472615,2004-04-09,Luisa
19,20,2004-01-08,Oficina,Alquiler,Barcelona,148,1169496,2004-08-19,María
20,21,2004-01-09,Industrial,Venta,Barcelona,228,2020992,2004-06-12,Carmen
21,22,2004-01-09,Oficina,Alquiler,Lleida,116,727552,2004-04-14,Pedro
22,23,2004-01-10,Casa,Alquiler,Girona,183,1438929,2004-04-21,Luisa
23,24,2004-01-10,Oficina,Alquiler,Tarragona,79,427390,2004-12-01,Joaquín
24,25,2004-01-10,Oficina,Alquiler,Barcelona,124,1170684,2004-05-23,Jesús
25,26,2004-01-10,Local,Alquiler,Tarragona,70,549780,2004-06-22,Jesús
26,27,2004-01-11,Local,Alquiler,Tarragona,70,659330,2004-12-23,Pedro
27,28,2004-01-12,Casa,Alquiler,Barcelona,187,1660560,2004-06-16,Joaquín
28,29,2004-01-12,Casa,Alquiler,Tarragona,91,753571,2004-07-07,Luisa
29,30,2004-01-12,Local,Alquiler,Tarragona,201,939072,2004-08-04,Carmen
30,31,2004-01-13,Industrial,Alquiler,Barcelona,142,1405374,2004-09-24,Jesús
31,32,2004-01-13,Casa,Alquiler,Girona,92,627348,2004-04-12,María
32,33,2004-01-15,Local,Alquiler,Barcelona,181,1504110,2004-07-03,María
33,34,2004-01-15,Casa,Venta,Barcelona,281,2483197,2004-11-01,María
34,35,2004-01-15,Industrial,Alquiler,Tarragona,257,1799771,2004-12-31,Luisa
35,36,2004-01-16,Industrial,Alquiler,Tarragona,140,1054340,2004-12-02,Luisa
36,37,2004-01-16,Local,Venta,Girona,229,1160572,2004-07-09,Pedro
37,38,2004-01-17,Suelo,Alquiler,Tarragona,300,1492800,2004-12-08,Joaquín
38,39,2004-01-18,Parking,Alquiler,Tarragona,215,1154980,2005-01-14,Joaquín
39,40,2004-01-18,Oficina,Venta,Girona,182,1057784,2004-07-22,Jesús
40,41,2004-01-18,Piso,Venta,Barcelona,230,1421860,2004-09-23,Jesús
41,42,2004-01-19,Oficina,Venta,Tarragona,168,1426992,2004-11-20,Jesús
42,43,2004-01-19,Oficina,Alquiler,Girona,74,579716,2004-09-22,María
43,44,2004-01-19,Casa,Venta,Girona,278,1537062,2004-12-16,María
44,45,2004-01-20,Oficina,Alquiler,Barcelona,287,2851058,2005-01-02,Joaquín
45,46,2004-01-20,Oficina,Alquiler,Lleida,224,1294048,2004-10-29,Carmen
46,47,2004-01-20,Piso,Alquiler,Barcelona,53,249418,2004-08-11,Luisa
47,48,2004-01-20,Industrial,Venta,Barcelona,284,1457488,2004-07-06,Jesús
48,49,2004-01-20,Local,Venta,Girona,40,321680,2005-01-11,Jesús
49,50,2004-01-20,Local,Alquiler,Tarragona,235,957625,2004-11-13,Carmen
50,51,2004-01-20,Industrial,Venta,Lleida,90,568620,2004-12-14,Joaquín
51,52,2004-01-22,Local,Alquiler,Lleida,206,1605564,2004-09-26,María
52,53,2004-01-22,Suelo,Alquiler,Tarragona,158,1438748,2004-10-17,Carmen
53,54,2004-01-22,Suelo,Alquiler,Barcelona,71,686996,2004-05-30,Luisa
54,55,2004-01-22,Local,Venta,Girona,127,983234,2004-07-09,Carmen
55,56,2004-01-23,Piso,Venta,Lleida,54,239220,2004-05-01,María
56,57,2004-01-23,Oficina,Alquiler,Lleida,54,512730,2004-07-04,Carmen
57,58,2004-01-24,Local,Alquiler,Girona,274,2287626,2004-12-21,María
58,59,2004-01-24,Industrial,Venta,Tarragona,166,1373816,2004-11-19,Joaquín
