,Operación,Provincia,Precio Venta
0,Alquiler,Lleida,2133903
1,Venta,Girona,1945424
2,Alquiler,Girona,712416
3,Alquiler,Girona,1815450
4,Venta,Tarragona,1138024
5,Alquiler,Girona,953156
6,Alquiler,Tarragona,406686
7,Venta,Girona,2158475
8,Alquiler,Lleida,1024380
9,Venta,Lleida,2042768
10,Alquiler,Girona,627068
11,Venta,Girona,999328
12,Venta,Barcelona,2937300
13,Venta,Tarragona,664700
14,Alquiler,Girona,820336
15,Alquiler,Girona,937960
16,Alquiler,Tarragona,358846
17,Venta,Barcelona,1679605
18,Alquiler,Girona,472615
19,Alquiler,Barcelona,1169496
20,Venta,Barcelona,2020992
21,Alquiler,Lleida,727552
22,Alquiler,Girona,1438929
23,Alquiler,Tarragona,427390
24,Alquiler,Barcelona,1170684
25,Alquiler,Tarragona,549780
26,Alquiler,Tarragona,659330
27,Alquiler,Barcelona,1660560
28,Alquiler,Tarragona,753571
29,Alquiler,Tarragona,939072
30,Alquiler,Barcelona,1405374
31,Alquiler,Girona,627348
32,Alquiler,Barcelona,1504110
33,Venta,Barcelona,2483197
34,Alquiler,Tarragona,1799771
35,Alquiler,Tarragona,1054340
36,Venta,Girona,1160572
37,Alquiler,Tarragona,1492800
38,Alquiler,Tarragona,1154980
39,Venta,Girona,1057784
40,Venta,Barcelona,1421860
41,Venta,Tarragona,1426992
42,Alquiler,Girona,579716
43,Venta,Girona,1537062
44,Alquiler,Barcelona,2851058
45,Alquiler,Lleida,1294048
46,Alquiler,Barcelona,249418
47,Venta,Barcelona,1457488
48,Venta,Girona,321680
49,Alquiler,Tarragona,957625
50,Venta,Lleida,568620
51,Alquiler,Lleida,1605564
52,Alquiler,Tarragona,1438748
53,Alquiler,Barcelona,686996
54,Venta,Girona,983234
55,Venta,Lleida,239220
56,Alquiler,Lleida,512730
57,Alquiler,Girona,2287626
58,Venta,Tarragona,1373816
59,Alquiler,Lleida,1920240
60,Venta,Tarragona,1140840
61,Venta,Tarragona,1142938
62,Venta,Barcelona,738144
63,Venta,Lleida,509010
64,Venta,Tarragona,1436832
65,Venta,Lleida,2119424
66,Alquiler,Barcelona,948927
67,Alquiler,Barcelona,376992
68,Venta,Girona,2212408
69,Alquiler,Tarragona,1647695
70,Venta,Girona,1939925
71,Venta,Tarragona,1478952
72,Alquiler,Barcelona,320044
73,Venta,Girona,1098055
74,Venta,Tarragona,187862
75,Alquiler,Tarragona,1757106
76,Alquiler,Tarragona,1104992
77,Venta,Lleida,448485
78,Venta,Barcelona,2520484
79,Alquiler,Barcelona,1339107
80,Alquiler,Barcelona,1812244
81,Venta,Girona,1069731
82,Venta,Lleida,471072
83,Venta,Barcelona,470940
84,Alquiler,Barcelona,925322
85,Venta,Girona,2141700
86,Alquiler,Barcelona,778875
87,Alquiler,Tarragona,421196
88,Alquiler,Barcelona,219716
89,Venta,Girona,2685816
90,Alquiler,Barcelona,723609
91,Alquiler,Barcelona,388032
92,Alquiler,Tarragona,922020
93,Alquiler,Barcelona,965358
94,Venta,Barcelona,663816
95,Alquiler,Tarragona,728931
96,Venta,Tarragona,625536
97,Venta,Lleida,1467782
98,Alquiler,Girona,2067236
99,Alquiler,Tarragona,531375
100,Alquiler,Girona,710694
101,Venta,Barcelona,438435
102,Alquiler,Girona,1188090
103,Venta,Tarragona,699400
104,Alquiler,Girona,1854496
105,Alquiler,Lleida,2105700
106,Alquiler,Girona,1791318
107,Alquiler,Tarragona,1782297
108,Alquiler,Barcelona,1528200
109,Venta,Barcelona,1587642
110,Alquiler,Tarragona,954666
111,Alquiler,Lleida,1064800
112,Alquiler,Barcelona,887241
113,Venta,Girona,806799
114,Venta,Tarragona,438750
115,Venta,Girona,973659
116,Venta,Girona,1724008
117,Venta,Girona,2047276
118,Venta,Lleida,307989
119,Venta,Tarragona,973878
120,Venta,Barcelona,688864
121,Alquiler,Barcelona,1385910
122,Alquiler,Girona,1461356
123,Alquiler,Tarragona,926228
124,Venta,Girona,1067192
125,Venta,Tarragona,1373132
126,Venta,Barcelona,1087119
127,Venta,Tarragona,1230190
128,Alquiler,Lleida,1363926
129,Venta,Tarragona,1389096
130,Venta,Lleida,477345
131,Venta,Tarragona,1268630
132,Alquiler,Tarragona,391964
133,Alquiler,Tarragona,1765225
134,Venta,Lleida,229455
135,Alquiler,Lleida,624435
136,Venta,Barcelona,686154
137,Venta,Girona,678480
138,Alquiler,Tarragona,533925
139,Venta,Barcelona,1076034
140,Venta,Barcelona,455477
141,Venta,Tarragona,1128156
142,Alquiler,Tarragona,1310520
143,Alquiler,Barcelona,782870
144,Venta,Girona,315550
145,Venta,Girona,2028970
146,Alquiler,Barcelona,734388
147,Venta,Barcelona,779241
148,Venta,Lleida,1492506
149,Alquiler,Lleida,1800516
150,Alquiler,Lleida,1259904
151,Venta,Tarragona,1063648
152,Venta,Lleida,434656
153,Alquiler,Lleida,508924
154,Alquiler,Girona,1403595
155,Venta,Girona,1561432
156,Venta,Tarragona,1891932
157,Alquiler,Lleida,731700
158,Venta,Lleida,563178
159,Venta,Tarragona,875228
160,Venta,Tarragona,1305480
161,Alquiler,Lleida,1361675
162,Venta,Tarragona,1161090
163,Alquiler,Girona,1395681
164,Venta,Tarragona,1001104
165,Venta,Tarragona,2275500
166,Venta,Girona,1370759
167,Venta,Lleida,1842035
168,Alquiler,Barcelona,2080078
169,Alquiler,Lleida,597286
170,Venta,Girona,1358640
171,Alquiler,Tarragona,558252
172,Venta,Girona,2400476
173,Alquiler,Lleida,1131416
174,Venta,Barcelona,416936
175,Alquiler,Lleida,1658835
176,Venta,Tarragona,1431012
177,Venta,Tarragona,513300
178,Venta,Barcelona,848328
179,Alquiler,Tarragona,1874928
180,Venta,Tarragona,367584
181,Alquiler,Tarragona,1323054
182,Alquiler,Girona,1446522
183,Venta,Tarragona,1447992
184,Venta,Barcelona,2109930
185,Alquiler,Girona,779868
186,Alquiler,Barcelona,919030
187,Venta,Lleida,537264
188,Venta,Girona,1261600
189,Alquiler,Lleida,448210
190,Alquiler,Tarragona,431325
191,Venta,Girona,553616
192,Venta,Tarragona,453651
193,Alquiler,Girona,986895
194,Venta,Girona,250852
195,Alquiler,Barcelona,1336717
196,Venta,Tarragona,519738
197,Alquiler,Girona,720882
198,Venta,Lleida,842343
199,Venta,Tarragona,2108343
200,Venta,Girona,1050985
201,Alquiler,Girona,298272
202,Alquiler,Girona,902798
203,Alquiler,Barcelona,692180
204,Venta,Girona,2002392
205,Alquiler,Lleida,2253500
206,Alquiler,Lleida,1338124
207,Venta,Lleida,1369680
208,Venta,Lleida,1643948
209,Alquiler,Lleida,1297594
210,Alquiler,Barcelona,2134246
211,Alquiler,Barcelona,492156
212,Alquiler,Lleida,1932518
213,Venta,Girona,1385011
214,Alquiler,Girona,1219158
215,Venta,Tarragona,1494892
216,Alquiler,Lleida,1398600
217,Alquiler,Tarragona,461435
218,Alquiler,Girona,351256
219,Alquiler,Lleida,1042283
220,Alquiler,Barcelona,474600
221,Alquiler,Girona,420660
222,Alquiler,Girona,489924
223,Venta,Tarragona,1032000
224,Alquiler,Barcelona,1069320
225,Alquiler,Tarragona,1133132
226,Venta,Lleida,1670965
227,Venta,Girona,2010619
228,Venta,Tarragona,739206
229,Alquiler,Tarragona,1382166
230,Alquiler,Barcelona,665951
231,Venta,Tarragona,1479548
232,Alquiler,Girona,1362348
233,Venta,Girona,1722700
234,Venta,Lleida,848358
235,Venta,Girona,2104286
236,Venta,Tarragona,1748850
237,Alquiler,Barcelona,995520
238,Alquiler,Lleida,2338032
239,Venta,Barcelona,1298716
240,Venta,Lleida,2038660
241,Venta,Barcelona,656535
242,Venta,Lleida,1870546
243,Alquiler,Tarragona,1431076
244,Venta,Barcelona,1176597
245,Venta,Girona,1936102
246,Alquiler,Barcelona,1582527
247,Alquiler,Girona,873120
248,Venta,Tarragona,2026401
249,Alquiler,Lleida,747075
250,Venta,Lleida,1130632
251,Alquiler,Lleida,1622040
252,Venta,Tarragona,567206
253,Venta,Girona,379689
254,Alquiler,Barcelona,424536
255,Venta,Girona,1620304
256,Alquiler,Lleida,1220697
257,Alquiler,Barcelona,1099648
258,Venta,Tarragona,1183212
259,Alquiler,Tarragona,1750014
260,Alquiler,Lleida,1107108
261,Alquiler,Barcelona,1449629
262,Alquiler,Barcelona,1006988
263,Alquiler,Tarragona,1770912
264,Venta,Barcelona,927255
265,Alquiler,Tarragona,1125792
266,Venta,Girona,1291116
267,Alquiler,Girona,968250
268,Venta,Lleida,446888
269,Alquiler,Tarragona,1342906
270,Alquiler,Lleida,1093281
271,Venta,Lleida,2409210
272,Alquiler,Lleida,722880
273,Alquiler,Lleida,1102880
274,Alquiler,Girona,1079449
275,Alquiler,Girona,1039500
276,Venta,Barcelona,2038586
277,Alquiler,Girona,853750
278,Venta,Girona,1414956
279,Venta,Barcelona,881804
280,Venta,Girona,1081278
281,Venta,Girona,2534505
282,Alquiler,Tarragona,1336298
283,Alquiler,Girona,2404898
284,Alquiler,Tarragona,712712
285,Venta,Barcelona,523770
286,Alquiler,Barcelona,1360800
287,Alquiler,Lleida,924294
288,Venta,Lleida,895359
289,Alquiler,Girona,1437818
290,Alquiler,Tarragona,1877675
291,Venta,Barcelona,258444
292,Venta,Girona,430418
293,Venta,Girona,589960
294,Venta,Girona,786695
295,Alquiler,Barcelona,1773780
296,Alquiler,Girona,2699136
297,Venta,Barcelona,600596
298,Venta,Girona,307170
299,Alquiler,Tarragona,683230
300,Alquiler,Tarragona,1458176
301,Alquiler,Girona,1171894
302,Venta,Girona,1728221
303,Alquiler,Barcelona,2612566
304,Venta,Girona,1150380
305,Venta,Lleida,1055912
306,Venta,Lleida,1645616
307,Alquiler,Barcelona,1521216
308,Alquiler,Lleida,1763517
309,Venta,Lleida,792792
310,Venta,Lleida,605425
311,Venta,Girona,1579284
312,Alquiler,Barcelona,391391
313,Alquiler,Tarragona,1386900
314,Alquiler,Barcelona,2439971
315,Alquiler,Barcelona,2571111
316,Alquiler,Barcelona,1754992
317,Alquiler,Lleida,440772
318,Venta,Tarragona,961368
319,Alquiler,Girona,2456159
320,Alquiler,Girona,977740
321,Venta,Barcelona,255906
322,Venta,Barcelona,1592166
323,Alquiler,Barcelona,876060
324,Venta,Girona,332400
325,Alquiler,Barcelona,1227224
326,Venta,Tarragona,1022040
327,Venta,Barcelona,1369368
328,Venta,Lleida,1922325
329,Alquiler,Girona,1189250
330,Alquiler,Barcelona,990355
331,Alquiler,Girona,877680
332,Venta,Barcelona,803000
333,Alquiler,Tarragona,2110966
334,Venta,Lleida,634920
335,Alquiler,Tarragona,1394461
336,Venta,Girona,413610
337,Alquiler,Barcelona,361661
338,Alquiler,Girona,683175
339,Venta,Lleida,783783
340,Venta,Tarragona,1990697
341,Alquiler,Lleida,1992228
342,Venta,Barcelona,1178100
343,Venta,Barcelona,1083466
344,Alquiler,Tarragona,1263495
345,Venta,Tarragona,1320676
346,Venta,Barcelona,851852
347,Alquiler,Girona,1560889
348,Venta,Tarragona,1398852
349,Venta,Girona,680830
350,Alquiler,Girona,418725
351,Venta,Tarragona,2060550
352,Alquiler,Tarragona,1980185
353,Venta,Girona,885476
354,Alquiler,Tarragona,1181686
355,Alquiler,Lleida,830830
356,Venta,Girona,1707944
357,Venta,Barcelona,1180048
358,Venta,Lleida,1176630
359,Venta,Barcelona,896220
360,Venta,Lleida,1505925
361,Venta,Lleida,732495
362,Alquiler,Girona,378624
363,Venta,Lleida,1257036
364,Alquiler,Tarragona,673355
365,Venta,Lleida,961192
366,Alquiler,Lleida,501220
367,Venta,Girona,354320
368,Alquiler,Barcelona,1238339
369,Alquiler,Tarragona,1377975
370,Venta,Barcelona,1109980
371,Alquiler,Lleida,1317529
372,Alquiler,Barcelona,822811
373,Alquiler,Tarragona,895287
374,Venta,Tarragona,1398630
375,Alquiler,Lleida,1210053
376,Alquiler,Barcelona,525210
377,Alquiler,Girona,1680000
378,Venta,Girona,812808
379,Venta,Lleida,2586704
380,Venta,Girona,775884
381,Alquiler,Lleida,2582184
382,Alquiler,Lleida,1331166
383,Venta,Barcelona,1823400
384,Venta,Barcelona,1746405
385,Alquiler,Girona,830760
386,Venta,Barcelona,486472
387,Alquiler,Girona,835152
388,Alquiler,Tarragona,882784
389,Alquiler,Tarragona,389350
390,Venta,Girona,1483500
391,Alquiler,Barcelona,1560450
392,Venta,Girona,1164375
393,Alquiler,Barcelona,946792
394,Alquiler,Girona,1159296
395,Alquiler,Lleida,1602544
396,Venta,Barcelona,933321
397,Venta,Girona,427824
398,Venta,Tarragona,483860
399,Venta,Tarragona,1225120
400,Alquiler,Barcelona,2682900
401,Alquiler,Lleida,2188138
402,Venta,Girona,770040
403,Alquiler,Lleida,702576
404,Venta,Tarragona,1804992
405,Venta,Barcelona,1883700
406,Venta,Barcelona,1383480
407,Alquiler,Barcelona,729788
408,Venta,Girona,1750089
409,Alquiler,Lleida,435252
410,Venta,Girona,742770
411,Venta,Girona,1268952
412,Alquiler,Tarragona,1527498
413,Venta,Lleida,425432
414,Venta,Barcelona,386584
415,Alquiler,Lleida,1287807
416,Venta,Barcelona,1381506
417,Alquiler,Girona,2452989
418,Venta,Girona,952302
419,Alquiler,Lleida,1019160
420,Venta,Barcelona,1209735
421,Alquiler,Barcelona,637308
422,Alquiler,Barcelona,1090180
423,Venta,Barcelona,1945755
424,Venta,Girona,1117753
425,Alquiler,Lleida,1042659
426,Venta,Barcelona,583362
427,Alquiler,Lleida,338364
428,Alquiler,Tarragona,2190493
429,Venta,Tarragona,1388175
430,Alquiler,Tarragona,1116441
431,Alquiler,Lleida,1980300
432,Venta,Tarragona,852480
433,Alquiler,Tarragona,1898628
434,Alquiler,Girona,1541528
435,Venta,Tarragona,783195
436,Venta,Girona,909821
437,Venta,Barcelona,1543344
438,Alquiler,Girona,2524358
439,Venta,Barcelona,1077665
440,Venta,Barcelona,790602
441,Venta,Tarragona,872063
442,Alquiler,Girona,1001070
443,Venta,Barcelona,1005312
444,Alquiler,Girona,189156
445,Alquiler,Tarragona,419178
446,Alquiler,Lleida,1779458
447,Alquiler,Girona,1159470
448,Venta,Girona,788948
449,Alquiler,Lleida,1674744
450,Venta,Barcelona,406998
451,Venta,Lleida,2097970
452,Venta,Girona,1616900
453,Alquiler,Barcelona,458568
454,Alquiler,Barcelona,2439512
455,Venta,Lleida,1797120
456,Alquiler,Lleida,511680
457,Alquiler,Barcelona,587880
458,Venta,Girona,590426
459,Alquiler,Barcelona,322322
460,Venta,Girona,412740
461,Alquiler,Lleida,924732
462,Venta,Girona,1962380
463,Alquiler,Girona,836836
464,Alquiler,Lleida,2628812
465,Alquiler,Tarragona,242704
466,Venta,Girona,520758
467,Venta,Tarragona,870105
468,Alquiler,Barcelona,546780
469,Venta,Tarragona,875544
470,Venta,Lleida,801350
471,Venta,Tarragona,1820016
472,Alquiler,Lleida,872760
473,Venta,Girona,1622646
474,Alquiler,Tarragona,568480
475,Alquiler,Lleida,851488
476,Alquiler,Lleida,855442
477,Alquiler,Lleida,913248
478,Venta,Girona,1028224
479,Venta,Lleida,530816
480,Alquiler,Barcelona,1166780
481,Venta,Tarragona,1983123
482,Venta,Lleida,946710
483,Venta,Girona,1506438
484,Alquiler,Tarragona,1093608
485,Venta,Girona,2199476
486,Venta,Lleida,2475063
487,Alquiler,Lleida,1306840
488,Venta,Tarragona,253920
489,Alquiler,Barcelona,1911312
490,Alquiler,Girona,358670
491,Venta,Lleida,1298328
492,Alquiler,Lleida,1948583
493,Venta,Barcelona,1729762
494,Venta,Barcelona,2578696
495,Alquiler,Lleida,1166065
496,Venta,Girona,1316073
497,Alquiler,Tarragona,1004740
498,Venta,Barcelona,531432
499,Alquiler,Lleida,2238000
500,Venta,Lleida,965006
501,Alquiler,Lleida,2087904
502,Venta,Barcelona,647352
503,Venta,Lleida,1216254
504,Venta,Tarragona,860172
505,Alquiler,Tarragona,1207195
506,Alquiler,Tarragona,1032546
507,Venta,Barcelona,2297538
508,Venta,Tarragona,428240
